"","camera_Rank","camera_p.value","gage_Rank","gage_p.value","globaltest_Rank","globaltest_p.value","gsva_Rank","gsva_p.value","ssgsea_Rank","ssgsea_p.value","zscore_Rank","zscore_p.value","ora_Rank","ora_p.value","padog_Rank","padog_p.value","roast_Rank","roast_p.value","safe_Rank","safe_p.value","camera_adj_p.value","gage_adj_p.value","globaltest_adj_p.value","gsva_adj_p.value","ssgsea_adj_p.value","zscore_adj_p.value","ora_adj_p.value","padog_adj_p.value","roast_adj_p.value","safe_adj_p.value","combined_p.value","Avg_Rank"
"hsa00240_Pyrimidine_metabolism",61,0.256192315732921,271,0.968961736643227,129,0.00793650793650794,33,0.0220156735451621,180,0.275722674368759,11,8.81087978543861e-05,126,0.0682820800190699,166,0.57,19,0.001,201,0.62,0.99400247320935,0.998519813823545,0.0124594640723673,0.190906574234221,0.445552908625622,0.00233888808849825,0.15699620821028,0.990714285714286,0.00941935483870968,0.892222222222222,0.00645992481618108,119.7
"hsa00250_Alanine,_aspartate_and_glutamate_metabolism",51,0.233888926562754,46,0.312823028576084,121,0.00793650793650794,43,0.0308894565891274,156,0.206955419416296,222,0.383916204963522,182,0.27915804096104,184,0.64,239,0.427,176,0.52,0.99400247320935,0.998519813823545,0.0124594640723673,0.203310784276946,0.38737809275358,0.503502926247345,0.443011673699041,1,0.521690376569038,0.859777777777778,0.556315002918289,142
"hsa00260_Glycine,_serine_and_threonine_metabolism",70,0.299168935923063,9,0.0680819063700516,26,0.00793650793650794,226,0.596373534856595,51,0.00699193711893994,111,0.0246259417829551,65,0.00527165818499593,6,1e-04,48,0.003,76,0.21,0.99400247320935,0.998519813823545,0.0124594640723673,0.762441910145844,0.0397757598757341,0.0647817567623685,0.0233230937881638,0.00292,0.0159272727272727,0.776595744680851,0.000285700245479224,68.8
"hsa00270_Cysteine_and_methionine_metabolism",125,0.476274990229409,118,0.563644215628598,191,0.0158730158730159,152,0.255382994809899,186,0.308311174061827,292,0.989853846983667,193,0.337400140385387,179,0.62,281,0.878,214,0.66,0.99400247320935,0.998519813823545,0.0215577703949797,0.486610789094064,0.483920832649855,0.989853846983667,0.510470678717788,1,0.910170212765957,0.892222222222222,0.903021082109118,193.1
"hsa00280_Valine,_leucine_and_isoleucine_degradation",233,0.804373083493523,113,0.557021077783249,52,0.00793650793650794,129,0.191374484647879,276,0.875467516251866,247,0.589460468831997,130,0.0735369730399487,151,0.53,173,0.079,174,0.52,0.994567650694826,0.998519813823545,0.0124594640723673,0.426187359507101,0.926219256324438,0.696852052222441,0.163914474256985,0.990714285714286,0.133341040462428,0.859777777777778,0.500275715382248,167.8
"hsa00290_Valine,_leucine_and_isoleucine_biosynthesis",40,0.196815133321695,168,0.707702559262505,282,0.166666666666667,82,0.0834367789545405,122,0.103112495024261,195,0.236738962731294,107,0.0366955491513556,148,0.52,216,0.255,163,0.49,0.99400247320935,0.998519813823545,0.1725768321513,0.293899572568032,0.24679384054987,0.353969647932218,0.100141124786877,0.990714285714286,0.344722222222222,0.859777777777778,0.593564354186238,152.3
"hsa00300_Lysine_biosynthesis",116,0.443964849426,200,0.787656708273997,288,0.26984126984127,124,0.176830870903644,161,0.228950657647443,165,0.117976877436489,242,1,200,0.7,206,0.183,191,0.57,0.99400247320935,0.998519813823545,0.273589065255732,0.416408179869871,0.415239702068654,0.208783322493665,1,1,0.259398058252427,0.866875,0.907762789579966,189.3
"hsa00310_Lysine_degradation",34,0.172346937181578,95,0.502963324488273,100,0.00793650793650794,57,0.043946213288159,144,0.164330591870774,75,0.00679244412454786,203,0.424242220394623,81,0.27,127,0.029,88,0.24,0.99400247320935,0.998519813823545,0.0124594640723673,0.221444903955168,0.329782779609495,0.0264452491249063,0.60724866840799,0.887450980392157,0.06615625,0.776595744680851,0.0989868865221003,100.4
"hsa00330_Arginine_and_proline_metabolism",235,0.810049814469273,143,0.644394229336246,181,0.00793650793650794,190,0.40776232604455,248,0.719115664386294,239,0.507287863148904,83,0.0112904798814525,114,0.36,223,0.308,102,0.29,0.994567650694826,0.998519813823545,0.0124594640723673,0.625970783888191,0.846694645476967,0.617249326718402,0.0397207244022184,0.922105263157895,0.403300448430493,0.822135922330097,0.46792053814033,175.8
"hsa00340_Histidine_metabolism",41,0.202234555038161,231,0.870966513548817,66,0.00793650793650794,119,0.161316208595043,119,0.0969748182216773,196,0.237596065050393,168,0.201010470066761,28,0.06,247,0.512,18,0.06,0.99400247320935,0.998519813823545,0.0124594640723673,0.395834730334055,0.237955016140586,0.353969647932218,0.349375340830322,0.598974358974359,0.605279352226721,0.776595744680851,0.443900073621787,123.3
"hsa00350_Tyrosine_metabolism",12,0.0752281939513291,162,0.688802193302235,3,0.00793650793650794,41,0.0286931991596855,36,0.00343653573428243,48,0.00186140872428575,183,0.27915804096104,4,1e-04,58,0.004,23,0.08,0.99400247320935,0.998519813823545,0.0124594640723673,0.203310784276946,0.0278741231780686,0.0111802236196707,0.443011673699041,0.00292,0.0188387096774194,0.776595744680851,0.000231247865786199,57
"hsa00360_Phenylalanine_metabolism",82,0.361006061394117,132,0.613025809996702,15,0.00793650793650794,155,0.261148228670393,136,0.144758716518404,154,0.0892840470724203,243,1,27,0.06,175,0.093,31,0.1,0.99400247320935,0.998519813823545,0.0124594640723673,0.491969566269385,0.309491042252844,0.16929182951394,1,0.598974358974359,0.154295454545455,0.776595744680851,0.375612359466482,115
"hsa00380_Tryptophan_metabolism",99,0.392015944381028,102,0.518182307789152,25,0.00793650793650794,136,0.20825886671509,103,0.0673799313363502,139,0.0639785507459877,119,0.0533376601240806,95,0.3,143,0.044,149,0.45,0.99400247320935,0.998519813823545,0.0124594640723673,0.446295752644175,0.190745067917105,0.134400984300924,0.13087896433808,0.887450980392157,0.0892222222222222,0.859777777777778,0.130609785880144,111
"hsa00400_Phenylalanine,_tyrosine_and_tryptophan_biosynthesis",102,0.396187123269738,77,0.429830617458508,5,0.00793650793650794,147,0.240402959221989,175,0.265937205050266,171,0.130081284550523,244,1,61,0.15,136,0.039,81,0.22,0.99400247320935,0.998519813823545,0.0124594640723673,0.477535129883134,0.441781395313976,0.22115821568788,1,0.718032786885246,0.0837352941176471,0.776595744680851,0.394561364648328,119.9
"hsa00410_beta-Alanine_metabolism",135,0.512361299653403,64,0.402553728392914,94,0.00793650793650794,120,0.164446163527046,184,0.306370488978988,266,0.785600524222106,178,0.251662801235271,37,0.08,288,0.955,8,0.03,0.99400247320935,0.998519813823545,0.0124594640723673,0.398247307508301,0.483920832649855,0.862388545386673,0.412840100902804,0.598974358974359,0.968263888888889,0.776595744680851,0.73265968287944,137.4
"hsa00430_Taurine_and_hypotaurine_metabolism",83,0.361311630674372,39,0.263235451988332,187,0.0158730158730159,107,0.13520858197454,16,0.000397705584567458,260,0.737719136562622,245,1,13,0.02,229,0.34,3,0.01,0.99400247320935,0.998519813823545,0.0215577703949797,0.368980429313697,0.0072581269183561,0.828515337985714,1,0.417142857142857,0.431652173913044,0.776595744680851,0.249221545448,118.2
"hsa00440_Phosphonate_and_phosphinate_metabolism",260,0.908855205559296,211,0.826410816750388,289,0.301587301587302,245,0.646237055482953,194,0.353040304296003,279,0.888203457214102,246,1,250,0.89,274,0.741,258,0.84,0.994567650694826,0.998519813823545,0.30471796561762,0.768390403265241,0.531380251826973,0.929589281385368,1,1,0.789678832116788,0.947328244274809,0.999759824650809,250.6
"hsa00450_Selenocompound_metabolism",55,0.23898466039483,188,0.748207174598323,276,0.0873015873015873,37,0.0242647434018274,76,0.0243157977189735,209,0.288297104379522,247,1,279,0.96,68,0.005,285,0.97,0.99400247320935,0.998519813823545,0.0920291100796516,0.190906574234221,0.0934238543939506,0.402788298941724,1,1,0.0214705882352941,0.993824561403509,0.321684258724928,172
"hsa00471_D-Glutamine_and_D-glutamate_metabolism",6,0.0459207304611397,174,0.716050904386676,278,0.0952380952380952,3,0.000281029432461173,41,0.00459409817819103,90,0.0122489803015331,248,1,132,0.47,131,0.034,126,0.37,0.99400247320935,0.998519813823545,0.10003425830764,0.0273535314262208,0.0327060059112354,0.0397411360894185,1,0.990714285714286,0.0757862595419847,0.856240601503759,0.0607380687505386,122.9
"hsa00472_D-Arginine_and_D-ornithine_metabolism",120,0.456853206365185,292,1,290,0.357142857142857,98,0.114676637701384,183,0.291130477100107,224,0.401270814254816,249,1,143,0.5,233,0.393,192,0.57,0.99400247320935,1,0.359605911330049,0.338788733425833,0.464536061820937,0.523085168582171,1,0.990714285714286,0.492515021459227,0.866875,0.985394774905984,202.4
"hsa00480_Glutathione_metabolism",79,0.348816189994597,86,0.463936424237596,268,0.0714285714285714,85,0.0859325319340838,97,0.0457064274732827,112,0.0252974935931522,198,0.379439663035763,204,0.72,170,0.075,269,0.88,0.99400247320935,0.998519813823545,0.0778251599147122,0.293899572568032,0.137590482703078,0.0659541797250039,0.556765736715793,1,0.128823529411765,0.955241635687732,0.322530056655948,156.8
"hsa00500_Starch_and_sucrose_metabolism",84,0.365926726663249,66,0.409964889825857,167,0.00793650793650794,40,0.0274120485690071,281,0.90857402976526,87,0.011103119994465,250,1,62,0.16,120,0.027,34,0.11,0.99400247320935,0.998519813823545,0.0124594640723673,0.200107954553752,0.944140984667103,0.0372656441193538,1,0.741587301587302,0.0640975609756098,0.776595744680851,0.190342101215415,119.1
"hsa00510_N-Glycan_biosynthesis",139,0.524665492651061,53,0.354964910905139,110,0.00793650793650794,176,0.340949267177847,178,0.269796405804321,157,0.0959754659223926,81,0.0106851050948544,68,0.21,183,0.114,29,0.1,0.99400247320935,0.998519813823545,0.0124594640723673,0.565665829635973,0.441781395313976,0.178502140441647,0.0385191442925614,0.876,0.180913043478261,0.776595744680851,0.175661226628837,117.4
"hsa00511_Other_glycan_degradation",272,0.955447369804382,154,0.666147637956658,223,0.0238095238095238,239,0.635060132402773,149,0.170183553116796,219,0.357283468869442,251,1,235,0.85,230,0.34,218,0.68,0.994567650694826,0.998519813823545,0.0292116846738695,0.768390403265241,0.33253918633981,0.47637795849259,1,1,0.431652173913044,0.910825688073395,0.870444781020748,219
"hsa00512_Mucin_type_O-Glycan_biosynthesis",13,0.0823409787752166,288,0.990215847480347,215,0.0158730158730159,7,0.00192187239712853,54,0.00970721110929936,127,0.0495003716837106,252,1,228,0.83,115,0.021,222,0.71,0.99400247320935,0.998519813823545,0.0215577703949797,0.0801695342802185,0.0524908452576928,0.113811878201917,1,1,0.0533217391304348,0.918793103448276,0.0875800256225496,152.1
"hsa00514_Other_types_of_O-glycan_biosynthesis",10,0.0621842432119348,4,0.0355466344282734,7,0.00793650793650794,97,0.107223431162375,50,0.00689770150362785,80,0.0080069739499391,253,1,32,0.07,124,0.028,122,0.36,0.99400247320935,0.998519813823545,0.0124594640723673,0.322775689684675,0.0397757598757341,0.0292254549172777,1,0.598974358974359,0.0648888888888889,0.854634146341463,0.0504797975471794,77.9
"hsa00520_Amino_sugar_and_nucleotide_sugar_metabolism",278,0.967365929532811,85,0.456431218979015,142,0.00793650793650794,207,0.487200237847284,133,0.139040141327036,240,0.507328213741153,254,1,253,0.9,225,0.326,260,0.85,0.994567650694826,0.998519813823545,0.0124594640723673,0.687258306528536,0.305261062161612,0.617249326718402,1,1,0.422495575221239,0.947328244274809,0.793086336582287,207.7
"hsa00524_Butirosin_and_neomycin_biosynthesis",127,0.484040618003237,172,0.71366669343605,280,0.119047619047619,160,0.278737447118339,179,0.270818047127403,257,0.706213449246451,255,1,262,0.92,255,0.58,276,0.92,0.99400247320935,0.998519813823545,0.124149659863946,0.508695840990969,0.441781395313976,0.802390378132155,1,1,0.664156862745098,0.973333333333333,0.988131835672255,222.3
"hsa00531_Glycosaminoglycan_degradation",76,0.332706226624003,29,0.195637798369279,36,0.00793650793650794,49,0.0372552841911592,222,0.525713464939544,101,0.0173282625672908,159,0.162754137201461,26,0.06,163,0.068,25,0.08,0.99400247320935,0.998519813823545,0.0124594640723673,0.213054447137564,0.688948254851987,0.0500975511846428,0.298894390332244,0.598974358974359,0.121815950920245,0.776595744680851,0.141939732837542,88.6
"hsa00532_Glycosaminoglycan_biosynthesis_-_chondroitin_sulfate___dermatan_sulfate",263,0.919557796802065,75,0.428035930399097,16,0.00793650793650794,240,0.6354623733763,243,0.682117485094982,231,0.439034006010005,256,1,75,0.23,192,0.124,123,0.36,0.994567650694826,0.998519813823545,0.0124594640723673,0.768390403265241,0.819663809249938,0.554969392878448,1,0.887450980392157,0.188583333333333,0.854634146341463,0.789071175139903,171.4
"hsa00533_Glycosaminoglycan_biosynthesis_-_keratan_sulfate",20,0.118019840763849,90,0.481113916926742,216,0.0238095238095238,58,0.0442310973425473,86,0.0335521553212523,96,0.0141695447700084,257,1,137,0.48,132,0.035,129,0.38,0.99400247320935,0.998519813823545,0.0292116846738695,0.221444903955168,0.11392127155588,0.0430990320087755,1,0.990714285714286,0.0774242424242424,0.856240601503759,0.160093222664191,122.1
"hsa00534_Glycosaminoglycan_biosynthesis_-_heparan_sulfate___heparin",237,0.813390785128313,264,0.941673812669623,283,0.214285714285714,212,0.504424880365632,284,0.927583017350367,248,0.604653116747699,258,1,273,0.95,262,0.639,284,0.97,0.994567650694826,0.998519813823545,0.219548872180451,0.694773891824361,0.953712116430659,0.711930282622291,1,1,0.712167938931298,0.993824561403509,0.999601471326067,260.5
"hsa00561_Glycerolipid_metabolism",171,0.622535118638911,21,0.16994304452352,222,0.0238095238095238,180,0.363295994861694,131,0.122750411633769,121,0.0394346649153967,135,0.104507339162767,157,0.55,171,0.076,85,0.23,0.99400247320935,0.998519813823545,0.0292116846738695,0.58934683610897,0.273611604557713,0.0951646459115359,0.224383404672999,0.990714285714286,0.129023255813953,0.776595744680851,0.286644848528262,139.4
"hsa00562_Inositol_phosphate_metabolism",245,0.866715148471492,184,0.740511836102682,62,0.00793650793650794,284,0.918665451930853,101,0.0634800277340196,126,0.047149677164968,217,0.485478800041137,244,0.87,30,0.001,252,0.83,0.994567650694826,0.998519813823545,0.0124594640723673,0.941428643045967,0.183526416815185,0.109267505810878,0.653271012036922,1,0.00941935483870968,0.947328244274809,0.134883242695486,174.5
"hsa00563_Glycosylphosphatidylinositol(GPI)-anchor_biosynthesis",206,0.7130875339585,256,0.926775793610006,234,0.0238095238095238,209,0.498939859617916,224,0.528508250297415,175,0.136005949745174,259,1,246,0.88,210,0.21,209,0.65,0.99400247320935,0.998519813823545,0.0292116846738695,0.694773891824361,0.688948254851987,0.22692144453254,1,1,0.290616113744076,0.892222222222222,0.81912825930117,222.8
"hsa00564_Glycerophospholipid_metabolism",266,0.933581627828779,204,0.801680240779461,243,0.0317460317460317,264,0.766118637487701,286,0.940251248792001,134,0.0566860764924773,82,0.0111738466566481,275,0.96,184,0.114,238,0.78,0.994567650694826,0.998519813823545,0.036785084404132,0.847373644493972,0.959976799465959,0.12352488310301,0.0397207244022184,1,0.180913043478261,0.9450622406639,0.385505173696041,217.6
"hsa00565_Ether_lipid_metabolism",166,0.598105583151615,192,0.757890736731326,140,0.00793650793650794,131,0.191742693773163,240,0.657778559513748,98,0.015057353721143,189,0.331167410498061,264,0.93,105,0.018,274,0.92,0.99400247320935,0.998519813823545,0.0124594640723673,0.426187359507101,0.800297247408393,0.0448647682303445,0.506287350080805,1,0.0486666666666667,0.973333333333333,0.216925116430712,179.9
"hsa00590_Arachidonic_acid_metabolism",232,0.802113192418999,30,0.198622775443581,146,0.00793650793650794,280,0.879954662336731,282,0.918078028601591,217,0.336555834895357,204,0.424242220394623,213,0.77,254,0.569,245,0.8,0.994567650694826,0.998519813823545,0.0124594640723673,0.917667005008306,0.95063398706264,0.452876975988222,0.60724866840799,1,0.654125984251968,0.945748987854251,0.893884565938089,210.3
"hsa00591_Linoleic_acid_metabolism",291,0.993408506104655,54,0.355066886313751,108,0.00793650793650794,217,0.532532068036388,238,0.64912000590002,200,0.256139013728579,260,1,247,0.88,240,0.435,250,0.82,0.994567650694826,0.998519813823545,0.0124594640723673,0.714051663884073,0.796399334969773,0.373962960043725,1,1,0.52925,0.947328244274809,0.865892438931643,210.5
"hsa00592_alpha-Linolenic_acid_metabolism",230,0.798247186895503,49,0.327135321102117,61,0.00793650793650794,165,0.299770767481962,226,0.546625330887009,168,0.125756980581429,164,0.193501045057823,192,0.67,214,0.24,216,0.66,0.994567650694826,0.998519813823545,0.0124594640723673,0.527656249483695,0.706259277075251,0.217836530611719,0.340375332270388,1,0.327476635514019,0.892222222222222,0.559580280301883,168.5
"hsa00600_Sphingolipid_metabolism",85,0.367098009081166,198,0.785621930434739,29,0.00793650793650794,96,0.106767540767476,91,0.0391445215526472,275,0.855159889755736,76,0.00845561907040433,77,0.24,278,0.835,119,0.35,0.99400247320935,0.998519813823545,0.0124594640723673,0.322775689684675,0.124296700013593,0.908024319304272,0.0324873785336588,0.887450980392157,0.87705035971223,0.854634146341463,0.284911157702097,132.4
"hsa00601_Glycosphingolipid_biosynthesis_-_lacto_and_neolacto_series",259,0.908749673084914,229,0.86822230610454,240,0.0317460317460317,238,0.634561282244377,204,0.429905605270482,241,0.520983964179882,98,0.0259560595268405,212,0.76,238,0.427,215,0.66,0.994567650694826,0.998519813823545,0.036785084404132,0.768390403265241,0.615355082053827,0.63123368274077,0.0773384630799737,1,0.521690376569038,0.892222222222222,0.735907063420591,217.4
"hsa00603_Glycosphingolipid_biosynthesis_-_globo_series",142,0.539057942613098,97,0.505574280023959,239,0.0317460317460317,142,0.227928089763751,68,0.0168403201610655,169,0.126076622169111,146,0.122674546794628,90,0.28,174,0.088,49,0.15,0.99400247320935,0.998519813823545,0.036785084404132,0.467487075692495,0.0723143159857519,0.217836530611719,0.244915765217508,0.887450980392157,0.14767816091954,0.776595744680851,0.250067921469278,131.6
"hsa00604_Glycosphingolipid_biosynthesis_-_ganglio_series",47,0.224944474993275,55,0.355508171870661,89,0.00793650793650794,94,0.103540674346238,147,0.167695000876146,106,0.0205699992299435,261,1,112,0.35,81,0.008,60,0.17,0.99400247320935,0.998519813823545,0.0124594640723673,0.318413008084411,0.33253918633981,0.0562170198128226,1,0.904424778761062,0.028144578313253,0.776595744680851,0.138650863661022,105.2
"hsa00620_Pyruvate_metabolism",223,0.780238113009583,62,0.394698179893274,267,0.0634920634920635,263,0.766051972181694,245,0.701824242445803,234,0.469067222931543,115,0.0509753080340282,240,0.86,257,0.604,234,0.74,0.994567650694826,0.998519813823545,0.069437013257238,0.847373644493972,0.834342477016823,0.585331748273549,0.129196295765653,1,0.683596899224806,0.923418803418803,0.911667548122176,214
"hsa00630_Glyoxylate_and_dicarboxylate_metabolism",28,0.147774223291789,8,0.058010152977871,2,0.00793650793650794,8,0.00251924412188353,46,0.00555683517791114,69,0.00543188753607284,262,1,7,1e-04,2,0.001,28,0.09,0.99400247320935,0.998519813823545,0.0124594640723673,0.0829217494360231,0.0351168994255181,0.0228681714628095,1,0.00292,0.00941935483870968,0.776595744680851,0.000258713842393932,46
"hsa00640_Propanoate_metabolism",204,0.704722179456035,167,0.702998667900544,189,0.0158730158730159,122,0.167273455035355,163,0.233930428230881,267,0.806566627368999,179,0.25863297131938,116,0.38,215,0.247,167,0.5,0.99400247320935,0.998519813823545,0.0215577703949797,0.398247307508301,0.419065552413603,0.881989225567059,0.419560153473661,0.956551724137931,0.335460465116279,0.859777777777778,0.726891980560042,178.9
"hsa00650_Butanoate_metabolism",96,0.39079890939328,28,0.19273691615325,8,0.00793650793650794,141,0.226960453089504,155,0.205915090865877,144,0.0685683244044832,263,1,20,0.04,6,0.001,68,0.19,0.99400247320935,0.998519813823545,0.0124594640723673,0.467487075692495,0.38737809275358,0.139041324486869,1,0.584,0.00941935483870968,0.776595744680851,0.133574799127522,92.9
"hsa00670_One_carbon_pool_by_folate",104,0.406742197076679,7,0.0578330757417187,1,0.00793650793650794,38,0.0248440062359602,141,0.154815571198408,232,0.441885524207722,162,0.17054856647286,19,0.04,263,0.645,108,0.31,0.99400247320935,0.998519813823545,0.0124594640723673,0.190906574234221,0.320610970141383,0.55616626322696,0.307408527222686,0.584,0.716121673003802,0.830689655172414,0.456705015535234,107.5
